city,year_x,min_mag,max_mag,frequency,july2020,july2021,july2022,july2023,july2024,july2025
abra de ilog,2020,1.4,4.8,121,32596,32801,32986,33151,33297,33423
abra de ilog,2021,1.5,5.8,92,32596,32801,32986,33151,33297,33423
abra de ilog,2022,1.5,5.3,109,32596,32801,32986,33151,33297,33423
abra de ilog,2023,1.3,5.1,125,32596,32801,32986,33151,33297,33423
abra de ilog,2024,1.4,4.9,134,32596,32801,32986,33151,33297,33423
abra de ilog,2025,1.0,4.4,179,32596,32801,32986,33151,33297,33423
abucay,2021,1.5,1.5,1,41960,42252,42491,42676,42818,42888
abucay,2023,2.1,2.1,1,41960,42252,42491,42676,42818,42888
abulug,2020,1.8,2.4,3,34355,34670,34965,35239,35492,35725
abulug,2023,3.8,3.8,1,34355,34670,34965,35239,35492,35725
abulug,2024,1.7,3.0,2,34355,34670,34965,35239,35492,35725
abulug,2025,2.1,2.7,3,34355,34670,34965,35239,35492,35725
abuyog,2020,1.3,3.7,12,61163,61490,61816,62142,62468,62794
abuyog,2021,2.0,3.2,12,61163,61490,61816,62142,62468,62794
abuyog,2022,2.0,3.8,9,61163,61490,61816,62142,62468,62794
abuyog,2023,1.6,3.6,4,61163,61490,61816,62142,62468,62794
abuyog,2024,1.4,5.8,181,61163,61490,61816,62142,62468,62794
abuyog,2025,1.4,3.8,21,61163,61490,61816,62142,62468,62794
adams,2020,1.5,3.3,25,1823,1827,1830,1833,1834,1835
adams,2021,1.8,3.1,11,1823,1827,1830,1833,1834,1835
adams,2022,1.4,3.5,45,1823,1827,1830,1833,1834,1835
adams,2023,1.4,3.4,55,1823,1827,1830,1833,1834,1835
adams,2024,1.2,4.9,53,1823,1827,1830,1833,1834,1835
adams,2025,1.3,3.6,52,1823,1827,1830,1833,1834,1835
agdangan,2024,1.6,1.6,1,14177,14421,14656,14883,15103,15313
aglipay,2021,2.3,2.3,1,28888,29071,29240,29396,29536,29663
aglipay,2022,1.7,1.7,1,28888,29071,29240,29396,29536,29663
aglipay,2023,1.7,2.0,2,28888,29071,29240,29396,29536,29663
agno,2020,1.7,4.6,111,28650,28723,28779,28819,28842,28849
agno,2021,1.5,5.0,42,28650,28723,28779,28819,28842,28849
agno,2022,1.6,4.8,19,28650,28723,28779,28819,28842,28849
agno,2023,1.8,3.7,15,28650,28723,28779,28819,28842,28849
agno,2024,1.5,3.5,18,28650,28723,28779,28819,28842,28849
agno,2025,2.0,4.5,26,28650,28723,28779,28819,28842,28849
agoncillo,2020,1.2,4.1,237,40177,40594,41007,41416,41823,42224
agoncillo,2021,1.5,2.8,2,40177,40594,41007,41416,41823,42224
agoncillo,2022,1.8,1.8,1,40177,40594,41007,41416,41823,42224
agoncillo,2024,2.4,2.4,1,40177,40594,41007,41416,41823,42224
agoncillo,2025,1.6,1.6,1,40177,40594,41007,41416,41823,42224
agoo,2020,2.0,2.6,4,66406,66841,67238,67595,67914,68193
agoo,2021,1.8,3.8,3,66406,66841,67238,67595,67914,68193
agoo,2022,1.9,3.3,8,66406,66841,67238,67595,67914,68193
agoo,2023,2.0,3.7,3,66406,66841,67238,67595,67914,68193
agoo,2024,1.8,2.1,2,66406,66841,67238,67595,67914,68193
agoo,2025,2.1,3.0,2,66406,66841,67238,67595,67914,68193
aguilar,2020,3.8,3.8,1,43052,43305,43535,43741,43924,44083
aguilar,2021,1.7,2.1,2,43052,43305,43535,43741,43924,44083
aguilar,2022,2.2,3.0,3,43052,43305,43535,43741,43924,44083
aguilar,2023,1.9,2.8,2,43052,43305,43535,43741,43924,44083
aguilar,2024,1.5,2.3,3,43052,43305,43535,43741,43924,44083
aguilar,2025,1.9,1.9,2,43052,43305,43535,43741,43924,44083
aguinaldo,2020,1.8,3.3,5,19908,19986,20057,20121,20176,20224
aguinaldo,2021,1.5,2.7,26,19908,19986,20057,20121,20176,20224
aguinaldo,2022,1.5,2.8,10,19908,19986,20057,20121,20176,20224
aguinaldo,2023,1.4,3.4,5,19908,19986,20057,20121,20176,20224
aguinaldo,2024,1.4,2.5,12,19908,19986,20057,20121,20176,20224
aguinaldo,2025,1.4,2.6,19,19908,19986,20057,20121,20176,20224
agutaya,2022,2.3,2.4,2,13179,13264,13335,13390,13431,13457
agutaya,2023,2.5,2.5,2,13179,13264,13335,13390,13431,13457
agutaya,2024,2.6,2.6,1,13179,13264,13335,13390,13431,13457
agutaya,2025,2.1,3.1,4,13179,13264,13335,13390,13431,13457
ajuy,2021,3.0,3.0,1,56710,57605,58464,59288,60078,60831
ajuy,2025,2.2,2.2,1,56710,57605,58464,59288,60078,60831
akbar,2022,2.5,2.5,1,20621,21306,22009,22731,23473,24231
akbar,2023,1.8,1.8,1,20621,21306,22009,22731,23473,24231
akbar,2024,1.6,1.7,2,20621,21306,22009,22731,23473,24231
al-barka,2023,2.9,2.9,1,21771,21941,22109,22276,22442,22605
al-barka,2024,2.4,2.4,1,21771,21941,22109,22276,22442,22605
al-barka,2025,2.4,2.4,1,21771,21941,22109,22276,22442,22605
alabat,2021,1.8,3.0,2,15890,15921,15945,15963,15973,15976
alabat,2022,1.4,4.0,7,15890,15921,15945,15963,15973,15976
alabat,2024,1.5,2.7,3,15890,15921,15945,15963,15973,15976
alabat,2025,1.7,1.7,1,15890,15921,15945,15963,15973,15976
alamada,2021,3.1,3.1,1,71351,72486,73540,74514,75409,76222
alamada,2022,2.2,3.8,2,71351,72486,73540,74514,75409,76222
alamada,2023,1.4,2.9,6,71351,72486,73540,74514,75409,76222
alamada,2024,1.6,2.5,3,71351,72486,73540,74514,75409,76222
alamada,2025,1.5,4.4,2,71351,72486,73540,74514,75409,76222
alaminos,2020,1.8,2.0,2,51287,51871,52417,52926,53398,53831
alaminos,2022,1.4,2.7,3,51287,51871,52417,52926,53398,53831
alaminos,2023,2.6,2.6,1,51287,51871,52417,52926,53398,53831
alaminos,2024,1.3,2.1,3,51287,51871,52417,52926,53398,53831
alaminos,2025,1.9,1.9,1,51287,51871,52417,52926,53398,53831
alangalang,2022,2.3,2.3,1,64203,66200,68256,70369,72547,74777
alangalang,2024,1.4,1.4,1,64203,66200,68256,70369,72547,74777
albuera,2020,2.0,3.7,10,51834,53029,54250,55497,56772,58068
albuera,2021,1.8,4.3,29,51834,53029,54250,55497,56772,58068
albuera,2022,1.7,3.0,10,51834,53029,54250,55497,56772,58068
albuera,2023,1.8,3.1,8,51834,53029,54250,55497,56772,58068
albuera,2024,1.3,3.4,14,51834,53029,54250,55497,56772,58068
albuera,2025,1.6,3.8,18,51834,53029,54250,55497,56772,58068
alburquerque,2020,2.2,2.2,1,11022,11102,11175,11242,11303,11358
alburquerque,2021,1.5,2.0,2,11022,11102,11175,11242,11303,11358
alburquerque,2022,2.1,2.1,1,11022,11102,11175,11242,11303,11358
alburquerque,2024,1.4,1.6,2,11022,11102,11175,11242,11303,11358
alburquerque,2025,1.9,3.2,3,11022,11102,11175,11242,11303,11358
alcala,2021,2.1,2.1,2,45374,45704,46010,46292,46550,46784
alcala,2022,1.5,2.6,6,45374,45704,46010,46292,46550,46784
