city,year,min_mag,max_mag,frequency,population
abra de ilog,2020,1.4,4.8,121,32596
abra de ilog,2021,1.5,5.8,92,32801
abra de ilog,2022,1.5,5.3,109,32986
abra de ilog,2023,1.3,5.1,125,33151
abra de ilog,2024,1.4,4.9,134,33297
abra de ilog,2025,1.0,4.4,179,33423
abucay,2021,1.5,1.5,1,42252
abucay,2023,2.1,2.1,1,42676
abulug,2020,1.8,2.4,3,34355
abulug,2023,3.8,3.8,1,35239
abulug,2024,1.7,3.0,2,35492
abulug,2025,2.1,2.7,3,35725
abuyog,2020,1.3,3.7,12,61163
abuyog,2021,2.0,3.2,12,61490
abuyog,2022,2.0,3.8,9,61816
abuyog,2023,1.6,3.6,4,62142
abuyog,2024,1.4,5.8,181,62468
abuyog,2025,1.4,3.8,21,62794
adams,2020,1.5,3.3,25,1823
adams,2021,1.8,3.1,11,1827
adams,2022,1.4,3.5,45,1830
adams,2023,1.4,3.4,55,1833
adams,2024,1.2,4.9,53,1834
adams,2025,1.3,3.6,52,1835
agdangan,2024,1.6,1.6,1,15103
aglipay,2021,2.3,2.3,1,29071
aglipay,2022,1.7,1.7,1,29240
aglipay,2023,1.7,2.0,2,29396
agno,2020,1.7,4.6,111,28650
agno,2021,1.5,5.0,42,28723
agno,2022,1.6,4.8,19,28779
agno,2023,1.8,3.7,15,28819
agno,2024,1.5,3.5,18,28842
agno,2025,2.0,4.5,26,28849
agoncillo,2020,1.2,4.1,237,40177
agoncillo,2021,1.5,2.8,2,40594
agoncillo,2022,1.8,1.8,1,41007
agoncillo,2024,2.4,2.4,1,41823
agoncillo,2025,1.6,1.6,1,42224
agoo,2020,2.0,2.6,4,66406
agoo,2021,1.8,3.8,3,66841
agoo,2022,1.9,3.3,8,67238
agoo,2023,2.0,3.7,3,67595
agoo,2024,1.8,2.1,2,67914
agoo,2025,2.1,3.0,2,68193
aguilar,2020,3.8,3.8,1,43052
aguilar,2021,1.7,2.1,2,43305
aguilar,2022,2.2,3.0,3,43535
aguilar,2023,1.9,2.8,2,43741
aguilar,2024,1.5,2.3,3,43924
aguilar,2025,1.9,1.9,2,44083
aguinaldo,2020,1.8,3.3,5,19908
aguinaldo,2021,1.5,2.7,26,19986
aguinaldo,2022,1.5,2.8,10,20057
aguinaldo,2023,1.4,3.4,5,20121
aguinaldo,2024,1.4,2.5,12,20176
aguinaldo,2025,1.4,2.6,19,20224
agutaya,2022,2.3,2.4,2,13335
agutaya,2023,2.5,2.5,2,13390
agutaya,2024,2.6,2.6,1,13431
agutaya,2025,2.1,3.1,4,13457
ajuy,2021,3.0,3.0,1,57605
ajuy,2025,2.2,2.2,1,60831
akbar,2022,2.5,2.5,1,22009
akbar,2023,1.8,1.8,1,22731
akbar,2024,1.6,1.7,2,23473
al-barka,2023,2.9,2.9,1,22276
al-barka,2024,2.4,2.4,1,22442
al-barka,2025,2.4,2.4,1,22605
alabat,2021,1.8,3.0,2,15921
alabat,2022,1.4,4.0,7,15945
alabat,2024,1.5,2.7,3,15973
alabat,2025,1.7,1.7,1,15976
alamada,2021,3.1,3.1,1,72486
alamada,2022,2.2,3.8,2,73540
alamada,2023,1.4,2.9,6,74514
alamada,2024,1.6,2.5,3,75409
alamada,2025,1.5,4.4,2,76222
alaminos,2020,1.8,2.0,2,51287
alaminos,2022,1.4,2.7,3,52417
alaminos,2023,2.6,2.6,1,52926
alaminos,2024,1.3,2.1,3,53398
alaminos,2025,1.9,1.9,1,53831
alangalang,2022,2.3,2.3,1,68256
alangalang,2024,1.4,1.4,1,72547
albuera,2020,2.0,3.7,10,51834
albuera,2021,1.8,4.3,29,53029
albuera,2022,1.7,3.0,10,54250
albuera,2023,1.8,3.1,8,55497
albuera,2024,1.3,3.4,14,56772
albuera,2025,1.6,3.8,18,58068
alburquerque,2020,2.2,2.2,1,11022
alburquerque,2021,1.5,2.0,2,11102
alburquerque,2022,2.1,2.1,1,11175
alburquerque,2024,1.4,1.6,2,11303
alburquerque,2025,1.9,3.2,3,11358
alcala,2021,2.1,2.1,2,45704
alcala,2022,1.5,2.6,6,46010
alcala,2023,1.5,2.1,6,46292
alcala,2025,1.6,3.0,6,46784
alcantara,2020,1.6,3.3,10,16774
alcantara,2022,1.8,1.9,4,17371
alcantara,2023,1.9,2.7,4,17656
alcantara,2024,1.4,1.4,2,17934
alcantara,2025,2.0,2.5,8,18203
alcoy,2020,1.8,2.8,14,19293
alcoy,2022,2.0,3.5,4,20196
alcoy,2023,1.6,2.4,2,20639
alcoy,2024,1.7,1.7,1,21079
alcoy,2025,1.7,1.7,1,21511
alegria,2020,1.5,3.0,20,24425
alegria,2021,1.8,3.5,14,24596
alegria,2022,1.8,3.0,30,24748
alegria,2023,1.9,4.5,22,24881
alegria,2024,2.3,4.1,14,24995
alegria,2025,1.7,3.3,14,25089
alfonso,2020,1.4,3.2,6,53721
alicia,2020,1.7,2.0,6,77727
alicia,2021,1.7,2.5,24,78892
alicia,2022,1.6,2.7,6,80022
alicia,2023,2.0,2.0,3,81119
alicia,2024,1.6,2.1,6,82184
alicia,2025,1.4,2.1,9,83213
alilem,2020,1.8,2.8,4,6825
alilem,2021,2.1,2.1,1,6843
alilem,2022,1.9,2.4,5,6856
alilem,2023,1.8,3.7,4,6867
alilem,2024,1.7,2.4,2,6875
alilem,2025,1.6,2.9,5,6879
alimodian,2024,2.3,2.4,2,39990
alimodian,2025,1.5,1.5,1,40040
alitagtag,2020,1.2,2.5,9,26862
alitagtag,2024,1.5,1.5,1,28093
allacapan,2022,2.5,2.5,1,36155
allen,2020,1.6,2.0,3,26809
almagro,2020,2.4,3.6,6,9135
almagro,2021,1.9,2.5,4,9159
almagro,2022,2.0,2.4,3,9178
almagro,2024,2.5,3.1,5,9200
almagro,2025,2.1,2.1,1,9204
almeria,2020,2.0,3.1,5,17274
almeria,2021,2.1,3.6,11,17314
almeria,2022,2.6,3.0,3,17346
almeria,2024,1.5,2.8,7,17381
almeria,2025,1.4,2.3,7,17386
aloguinsan,2022,3.4,3.4,1,38636
ambaguio,2020,2.1,4.2,23,17017
ambaguio,2021,1.4,4.4,63,17358
ambaguio,2022,1.5,3.9,37,17693
ambaguio,2023,1.4,3.3,26,18022
ambaguio,2024,1.6,3.6,21,18346
ambaguio,2025,1.7,3.3,14,18663
ampatuan,2020,1.6,2.3,7,27464
ampatuan,2024,1.8,2.3,3,29551
ampatuan,2025,1.7,1.7,1,30059
anahawan,2020,1.5,3.2,25,8472
anahawan,2021,2.0,2.9,14,8527
anahawan,2022,1.6,3.4,14,8582
anahawan,2023,1.5,5.0,11,8638
anahawan,2024,1.5,3.1,17,8695
anahawan,2025,1.4,3.0,27,8752
anao,2021,2.1,2.1,1,12296
anao,2022,2.1,2.1,1,12406
anao,2025,1.8,1.8,1,12705
anda,2020,1.5,3.6,66,41692
anda,2021,1.7,3.3,82,42076
anda,2022,1.6,3.6,46,42439
anda,2023,1.4,3.5,52,42781
anda,2024,1.6,3.6,56,43104
anda,2025,1.6,4.0,50,43405
angono,2021,2.2,2.2,1,120430
anilao,2022,2.0,2.0,1,29717
anilao,2024,2.4,3.1,2,29865
anini-y,2020,1.8,4.0,32,21809
anini-y,2021,1.8,4.1,28,21897
anini-y,2022,2.0,5.1,45,21971
anini-y,2023,1.5,4.6,34,22033
anini-y,2024,2.0,4.0,25,22083
anini-y,2025,1.7,4.4,37,22121
antequera,2020,2.3,3.6,4,14499
antequera,2021,1.5,2.9,8,14516
antequera,2022,1.8,1.8,2,14535
antequera,2023,1.5,2.5,6,14554
antequera,2024,2.1,2.1,1,14574
antequera,2025,1.5,3.4,9,14595
antipas,2020,2.0,2.0,1,26563
antipas,2021,2.3,2.3,1,26711
antipas,2023,3.0,3.0,1,26899
antipas,2024,3.6,4.0,2,26940
aparri,2020,1.6,2.0,3,70121
aparri,2022,2.4,2.4,1,71664
aparri,2024,2.2,2.2,1,73052
aparri,2025,1.6,2.6,2,73686
araceli,2022,2.3,2.3,1,16220
araceli,2024,2.7,2.7,1,16449
araceli,2025,1.8,1.8,1,16539
arakan,2020,2.0,3.5,3,52084
arakan,2021,2.2,3.2,11,52673
arakan,2022,1.6,3.0,4,53198
arakan,2024,1.9,2.5,4,54050
arakan,2025,1.6,2.8,3,54378
argao,2020,1.8,3.4,3,74689
argao,2021,2.0,2.0,1,74978
aringay,2020,2.1,2.2,2,49688
aringay,2021,1.9,1.9,1,50057
aringay,2022,1.8,2.6,3,50396
aringay,2023,3.1,3.1,1,50707
aringay,2024,2.8,3.0,2,50991
aringay,2025,1.4,2.4,3,51244
aritao,2020,2.4,2.4,1,38453
